,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions,goals_per_ninety,exp_goals_per_ninety,goals_minus_exp_goals
385,Pedro,"FW,MF",es ESP,37.0,Lazio,it Serie A,1102,12.2,10,2,3.7999999999999994,5.3,1,1.6,37,16,0.2702702702702703,0.625,43.24324324324324,19.1,22,4.09,0.25,79.8,48,435,722,5,61,89,21,546,1,11,8.333333333333332,19,22,0.819672131147541,0.43442622950819676,4.7
389,Phil Foden,"MF,FW",eng ENG,24.0,Manchester City,eng Premier League,1777,19.7,7,0,5.2,5.2,2,4.8,54,16,0.12962962962962962,0.4375,29.629629629629626,18.6,43,4.46,0.4599999999999999,84.1,50,722,1139,4,83,128,31,894,3,11,21.428571428571427,13,22,0.3553299492385787,0.2639593908629442,1.7999999999999998
390,Phil Harres,FW,de GER,23.0,Holstein Kiel,de Bundesliga,1544,17.2,8,0,5.9,5.9,1,1.3,37,17,0.21621621621621623,0.47058823529411764,45.94594594594595,12.7,10,1.28,0.29,56.6,12,240,481,3,61,71,24,318,54,4,93.10344827586206,10,15,0.46511627906976744,0.34302325581395354,2.0999999999999996
392,Phillip Tietz,FW,de GER,27.0,Augsburg,de Bundesliga,1686,18.7,7,1,5.3,6.1,2,1.2,51,19,0.13725490196078433,0.3684210526315789,37.254901960784316,16.3,22,2.56,0.27,62.39999999999999,8,347,677,2,89,113,17,502,78,3,96.29629629629629,11,16,0.37433155080213903,0.3262032085561497,0.9000000000000004
394,Rafael Leão,FW,pt POR,25.0,Milan,it Serie A,2323,25.8,8,0,7.599999999999999,7.599999999999999,8,8.4,66,29,0.12121212121212122,0.27586206896551724,43.93939393939394,16.6,58,4.38,0.62,74.2,123,780,1135,4,152,262,36,940,26,18,59.09090909090909,16,22,0.31007751937984496,0.2945736434108527,0.40000000000000124
396,Randal Kolo Muani,FW,fr FRA,26.0,"Juventus, Paris S-G","it Serie A, fr Ligue 1",1518,16.9,10,2,3.9,4.700000000000001,2,1.434319526627219,40,19,0.25,0.5263157894736842,47.5,12.675,22,2.3692899408284025,0.3530769230769231,70.75161290322582,29,291,496,5,102,135,33,373,19,3,86.36363636363636,15,19,0.591715976331361,0.27810650887573973,5.299999999999999
398,Raphinha,"FW,MF",br BRA,28.0,Barcelona,es La Liga,2839,31.5,18,2,17.6,19.2,9,12.7,112,40,0.16071428571428573,0.45,35.714285714285715,19.1,91,5.17,0.7,71.1,94,1016,1863,11,183,349,29,1316,9,20,31.03448275862069,36,47,0.5714285714285714,0.6095238095238095,-1.1999999999999993
400,Rayan Cherki,"FW,MF",fr FRA,21.0,Lyon,fr Ligue 1,2041,22.7,8,0,5.0,5.0,11,11.1,45,19,0.17777777777777778,0.42105263157894735,42.22222222222222,16.8,75,6.440000000000001,0.88,78.5,106,1021,1573,4,132,184,43,1234,4,22,15.384615384615385,15,22,0.3524229074889868,0.22026431718061676,3.0
401,Raúl Jiménez,FW,mx MEX,34.0,Fulham,eng Premier League,2494,27.7,12,3,9.6,12.0,3,3.3,93,30,0.12903225806451613,0.4,32.25806451612903,14.5,24,2.3800000000000003,0.25,71.2,35,549,999,9,165,125,45,734,91,14,86.66666666666667,35,45,0.4332129963898917,0.4332129963898917,0.0
403,Riccardo Orsolini,FW,it ITA,28.0,Bologna,it Serie A,1878,20.9,15,3,7.8,10.1,4,3.7,72,25,0.20833333333333334,0.6,34.72222222222222,17.5,30,2.83,0.2399999999999999,65.8,61,589,916,4,88,186,25,675,23,6,79.3103448275862,16,24,0.7177033492822967,0.48325358851674644,4.9
