,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
353,Gorka Guruzeta,FW,es ESP,28.0,Athletic Club,es La Liga,1840,20.4,7,0,6.6,6.700000000000001,2,1.5,59,19,0.12,0.37,32.2,13.6,15,1.42,0.05,72.5,8,286,643,2,78,64,20,415,36,24,34.3,16,25
357,Gustav Isaksen,FW,dk DEN,24.0,Lazio,it Serie A,2210,24.6,4,0,5.2,5.2,2,2.1,54,24,0.07,0.17,44.4,18.9,35,3.79,0.37,76.6,95,698,1084,1,120,249,31,805,13,21,35.1,16,26
359,Habib Diarra,"MF,FW",sn SEN,21.0,Strasbourg,fr Ligue 1,2352,26.1,4,2,1.8,3.3,5,4.5,25,10,0.08,0.2,40.0,20.2,27,2.18,0.31,83.0,61,709,1214,3,42,114,22,885,12,12,42.9,22,35
365,Harry Kane,FW,eng ENG,31.0,Bayern Munich,de Bundesliga,2381,26.5,26,9,13.300000000000002,20.3,9,5.3,105,45,0.16,0.38,42.9,16.3,35,3.36,0.79,78.9,29,513,917,2,162,143,22,716,29,4,59.2,13,15
366,Harry Wilson,"FW,MF",wls WAL,28.0,Fulham,eng Premier League,1162,12.9,6,0,4.2,4.2,1,1.1,43,17,0.14,0.35,39.5,18.0,20,3.41,0.23,73.3,22,342,598,4,63,96,6,390,5,6,20.0,20,27
367,Harvey Barnes,FW,eng ENG,27.0,Newcastle Utd,eng Premier League,1755,19.5,9,0,7.2,7.2,4,4.0,63,20,0.14,0.45,31.7,15.1,26,3.27,0.46,78.1,93,561,810,6,128,192,23,647,6,8,28.6,16,22
369,Himad Abdelli,"MF,FW",dz ALG,25.0,Angers,fr Ligue 1,2842,31.6,6,3,3.2,6.4,1,3.2,35,8,0.09,0.38,22.9,22.6,39,2.98,0.16,82.1,107,1183,1993,15,49,111,51,1446,13,33,39.4,48,74
370,Hugo Duro,FW,es ESP,25.0,Valencia,es La Liga,2166,24.1,11,1,8.6,9.4,2,1.3,48,16,0.21,0.63,33.3,11.1,14,1.2,0.21,69.2,13,297,634,2,90,88,32,471,59,8,36.9,13,23
371,Hugo Ekitike,FW,fr FRA,22.0,Eint Frankfurt,de Bundesliga,2563,28.5,15,1,19.3,21.6,8,6.8,114,44,0.12,0.32,38.6,15.3,44,3.55,0.42,75.5,93,633,1054,5,196,215,34,777,52,8,46.8,16,23
373,Hákon Arnar Haraldsson,"MF,FW",is ISL,22.0,Lille,fr Ligue 1,1755,19.5,5,0,3.8,3.8,3,2.8,35,13,0.14,0.38,37.1,17.1,35,3.59,0.36,79.4,52,715,1136,10,77,143,13,872,2,17,12.5,36,44
374,Iago Aspas,"FW,MF",es ESP,37.0,Celta Vigo,es La Liga,1745,19.4,10,5,4.0,8.7,5,4.6,46,18,0.10999999999999999,0.28,39.1,21.3,38,3.82,0.67,75.4,50,724,1038,4,67,143,20,876,7,12,46.7,13,21
378,Ibrahima Niane,FW,sn SEN,26.0,Angers,fr Ligue 1,943,10.5,3,1,4.9,5.7,1,1.0,29,10,0.07,0.2,34.5,14.6,9,2.0,0.38,68.4,19,182,312,2,50,50,17,230,26,0,41.3,7,9
388,Iliman Ndiaye,FW,sn SEN,25.0,Everton,eng Premier League,2431,27.0,9,2,4.7,6.2,0,1.9,35,15,0.2,0.47,42.9,17.1,18,2.41,0.3,81.8,86,621,1084,17,83,122,44,674,6,27,24.0,53,73
390,Irvin Cardona,FW,fr FRA,27.0,"Espanyol, Saint-Étienne","es La Liga, fr Ligue 1",1669,18.5,6,0,2.7583783783783784,3.268648648648649,4,1.1102702702702703,33,13,0.18363636363636363,0.46076923076923076,39.40909090909091,15.487878787878786,24,2.5490270270270274,0.3415675675675676,65.3107671601615,44,397,743,2,76,178,16,562,18,22,49.525,14,22
